product_code;price_gross;vat;currency;stock;name
GITB1126;1370.52;21;EUR;1;Aria Pro II PE-600 1978 | Violin Sunburst
GITB912;1186.92;21;EUR;1;Boss Eurus GS-1 | Black Midi
GITB1104;895.32;21;EUR;1;Charvel Model 2 1H 1988 | Black
GITB1003;1240.92;21;EUR;1;D'Angelico Deluxe EXL-1 Korea | Matte Red
GITB1147;2154.6;21;EUR;1;Del-Tone 50's S-style | Black
GITB1144;2154.6;21;EUR;1;Del-Tone 60's T-style | Aged Vintage White
GITB1146;2154.6;21;EUR;1;Del-Tone 60's T-style | Gold
GITB1145;2154.6;21;EUR;1;Del-Tone 60's T-style | Sherwood Green
GITB1148;2262.6;21;EUR;1;Del-Tone JM-style HH | Charcoal Frost
GITB1149;2262.6;21;EUR;1;Del-Tone JM-style | Candy Apple Red
GITB876;2158.92;21;EUR;1;Dynacord Cora S 1965 | Chrome
GITB1179;1564.92;21;EUR;1;Eastman AR480CE John Pisano 30th Anniv. | Sunburst
GITB902;2320.92;21;EUR;1;Eastman D'Ambrosio Offset ’62 | Ocean Turquoise
GITB1154;1132.92;21;EUR;1;Epiphone Joe Bonamassa 1963 SG Custom 2023 | Dark Wine Red
GITB1078;2752.92;21;EUR;1;ESP Custom Shop Eclipse Japan 1999 | See Thru Blue
GITB1109;3666.6;21;EUR;1;ESP KH-2 Kirk Hammett Signature | Black
GITB1105;5286.6;21;EUR;1;ESP Original M-2 CTM NT Titan | Metal Black Sparkle
GITB1129;1672.92;21;EUR;1;Fender American Acoustasonic Strat 2024 | Black
GITB1168;1564.92;21;EUR;1;Fender American Deluxe Strat Gilmour 2012 | Natural Ash
GITB1166;1672.92;21;EUR;1;Fender American Professional II Stratocaster 2021 | Black
GITB1032;1402.92;21;EUR;1;Fender American Standard Telecaster 1995 | Sunburst
GITB1081;3558.6;21;EUR;1;Fender Custom Shop Strat Eric Clapton Signature 2009 | Grey
GITB1155;3774.6;21;EUR;1;Fender Custom Shop Telecaster Relic 2014 | Black
GITB1123;1456.92;21;EUR;1;Fender Standard Stratocaster 1998 MN | Black
GITB1070;3126.6;21;EUR;1;Fender Stratocaster International 1981 | Monaco Yellow
GITB1160;4854.6;21;EUR;1;Fender Telecaster '52 Custom Shop | Butterscotch Blonde
GITB1182;2320.92;21;EUR;1;Gibson  Les Paul standard 50s | Heritage cherry sunburst
GITB1040;5178.6;21;EUR;1;Gibson Custom Shop Les Paul | Figured Peacock
GITB1118;2212.92;21;EUR;1;Gibson Dave Mustaine Flying V | Antique Natural
GITB1177;4746.6;21;EUR;1;Gibson ES-125T 1957 | Sunburst
GITB1183;2320.92;21;EUR;1;Gibson ES-135 Memphis 2000 | Sunburst
GITB1158;4098.6;21;EUR;1;Gibson ES-175D 2003 | Vintage Sunburst
GITB894;3076.92;21;EUR;1;Gibson Explorer Designer Series 1985 | White Blue Stripes
GITB1075;2320.92;21;EUR;1;Gibson Les Paul Classic 2006 | Cherry Sunburst
GITB1127;2104.92;21;EUR;1;Gibson Les Paul Standard 50's Nitro | TV Yellow
GITB1103;2457.0;21;EUR;1;Gibson Les Paul Standard 50s Custom Color | 60s Cherry
GITB1157;1186.92;21;EUR;1;Gibson Les Paul Studio Faded | Satin Walnut
53470759321937;0.0;21;EUR;1;Gibson Robby Krieger SG | Heritage Cherry
GITB1150;2046.6;21;EUR;1;Gibson Victory Artist 1982 | Sienna Sunburst
S01;10.75;21;EUR;1;GitaarBarbaar Elektrische Gitaarsnaren Regular Light (10-46)
