product_code;price_gross;vat;currency;stock;name
101125485;789.54;21;EUR;1;Hofner 164 soldibody guitar 1960s 1970s
92659844;1481.9;21;EUR;1;Höfner 462 S  1962 - Archtop Guitar - Excellent Condition
92529604;874.56;21;EUR;1;Hüttl bass 1960s - shortscale
92443132;578.18;21;EUR;1;Old German parlor guitar 1920s
92086369;1062.84;21;EUR;1;Hofner 185 bass 1963
98410328;1290.59;21;EUR;1;Hoyer restored archtop 1950s - trussrod, refret, pickup etc with video
91352658;898.86;21;EUR;1;Taco violin bass 1960s GDR
95838049;1056.77;21;EUR;1;Hofner 173 1962 / 1963 solidbody guitar
95838186;1044.62;21;EUR;1;Baldwin 704 bass 1960s - sunburst
100510634;1931.33;21;EUR;1;Hofner 500/8M Ambassador Bass 1969 - Sunburst
100510379;1044.62;21;EUR;1;Anton Lorbeer? 1950s GDR archtop guitar - all solid - with Simeto P90
100510241;1213.46;21;EUR;1;Framus conversion - P90 electric guitar 1960s worn
92757866;1129.65;21;EUR;1;Ibanez 2342 Deluxe ’59er Single Cut 1970s – Seymour Duncan SH2 & SH4
94273210;960.93;21;EUR;1;"Hofner 161 ""Colorama"" 1962 - cherry red - rare - set neck"
92443278;1201.31;21;EUR;1;Hofner 182 bass 1962 - red vinyl
92264960;2368.61;21;EUR;1;Hofner Committee thinline 1964 - brunette
92086397;1049.48;21;EUR;1;Arnold Hoyer Solist 1950s - blonde
91638583;2052.8;21;EUR;1;Willy Wolfrum 1950s Archtop / Rellog pickup
90595752;869.1;21;EUR;1;Rodebald Hoyer solidbody guitar 1950s - Rare
97904784;1091.99;21;EUR;1;Hofner 4550 S - 1950s archtop guitar - fretjob, electrified, player
97905081;1600.33;21;EUR;1;Gretsch Synchromatic 100 - 1952 - neck reset, refretted, electrified
100220429;935.3;21;EUR;1;unknown Resonator Guitar with humbucker
100220325;1475.83;21;EUR;1;Hofner 462 S archtop with Häussel humbucker 1960s - blonde
100130261;929.23;21;EUR;1;Westone Concord II Red Japan Matsumoku 1983
92529633;406.92;21;EUR;1;Cimar Blazer / Strat Japan 1983 - Sunburst
92264915;2306.73;21;EUR;1;Hofner Committee 1958 - blonde
91543874;1246.25;21;EUR;1;Ibanez 2612-BK Artist 1973 - 1976 - Black
91261806;1355.58;21;EUR;1;Hofner 4575 Verythin 1965 - cherry red
97380013;2405.05;21;EUR;1;Hofner Club Bass / T20 1966 - neck reset, fretjob & more
97381060;996.03;21;EUR;1;Guild D-15 M 1987 - 1994 - Natural
97657927;1015.47;21;EUR;1;Hofner 173 brown vinyl 1963 OHC - fretjob, pickup rewind & more
97657979;1475.83;21;EUR;1;Framus  Hollywood 5/132 guitar 1967 - neck reset, refretted, customized
99640980;668.07;21;EUR;1;Squier Vintage Modified Jaguar with Rosewood Fretboard 2014 - 3-Color Sunburst
99640957;671.11;21;EUR;1;Steinberger Spirit GT-PRO Deluxe 2010  White
99638190;1153.94;21;EUR;1;Hopf Galaxie 1960s with handwound humbucker - short scale
99637771;980.85;21;EUR;1;Hofner 458 S early 1960s with ebony pickup
99606279;1457.61;21;EUR;1;Fender G-5 VG Stratocaster 2012  - Black - Roland
99606221;947.45;21;EUR;1;Peavey AT-200 Auto Tune Self-Tuning Electric Guitar 2010s - Black
99606161;461.58;21;EUR;1;Squier Contemporary Stratocaster HSS with Laurel Fretboard 2018 - Black Metallic
90595522;1049.48;21;EUR;1;Hofner 457 archtop guitar 1952 - brownburst
88414940;771.32;21;EUR;1;Kurt Seifert archtop guitar 1950s
99495401;1020.33;21;EUR;1;Fender FSR Special Edition Standard Stratocaster with Maple Fretboard 2011 - Copper Metallic Burst
99490536;358.33;21;EUR;1;Epiphone Riviera Custom P93 2011 - Malcom Young style
86552553;1005.75;21;EUR;1;1970s Klira SM 15 solidobdy SG guitar - refretted, setup & more
99469931;668.07;21;EUR;1;G&L Tribute Series Legacy HSS 2011 - Black
90052370;1506.2;21;EUR;1;"Musima Record 17 1960s 1970s - GDR - all solid ""17"""
89828383;710.58;21;EUR;1;Kawai S170 solidbody guitar Japan 1960s - Hound Dog Taylor Teisco
89184553;1008.18;21;EUR;1;Hofner 173 solidbody guitar 1963
92529204;1008.18;21;EUR;1;Hofner 174 solidbody 1970s
99435026;1068.91;21;EUR;1;Fender Classic Series '50s Stratocaster 2007 - Fiesta Red
99434644;668.07;21;EUR;1;Squier Vintage Modified Jaguar 2012 Surf Green
99434610;570.9;21;EUR;1;Harley Benton Harley Benton DC-Custom 612 Cherry
99400481;546.6;21;EUR;1;Squier Classic Vibe Stratocaster '50s - first Series 2009
99282003;3562.03;21;EUR;1;"Majestic Aristocrat 134 ""standart"" 1930s - sunburst"
99281750;928.19;21;EUR;1;Hofner 492 slope shoulder guitar 12-string - 1960s - natural
99254978;205.28;21;EUR;1;Epiphone Les Paul Invader 2004 - Vintage Sunburst
99254152;1396.87;21;EUR;1;Fender Pawn Shop '51 Japan 2012 - Black
99253422;570.9;21;EUR;1;Squier Vintage Modified Surf Stratocaster 2012 - Surf Green
96893199;1213.46;21;EUR;1;Migma GDR soldibody guitar 1950s 1960s
96550468;1333.71;21;EUR;1;Kurt Störtz archtop guitar 1937 - pre war German
96549725;1032.47;21;EUR;1;Hagstrom III soldibody guitar 1967 - Red
96356420;2678.35;21;EUR;1;Paul Dietrich archtop guitar 1930s 1940s
96355800;1836.59;21;EUR;1;Perfectus - Erich Wander 1950s - Archtop Guitar
99078769;1082.27;21;EUR;1;Burns Bison 64 club series - perloid / black - 2013 korea
99078765;1028.16;21;EUR;1;Burns Bison 64 club series - black - 2013 korea
99078723;2271.44;21;EUR;1;"Burns ""The Marvin 1964"" - fiesta red"
98771406;1082.27;21;EUR;1;Alosa - all solid archtop 1955 - neck reset - partial refret
98770644;940.16;21;EUR;1;Hofner 456 archtop 1953 - shellac finish - reeinfoced neck - new frets
84632763;1882.74;21;EUR;1;"1956 Roger Junior CA all solid ""17"" archtop - German carve"
87054739;241.72;21;EUR;1;1960s Hoyer Jumbo guitar 12-string  - ladder braced
92659875;602.36;21;EUR;1;Höfner 172 1960s – Handwound P90 – Upgraded
93008349;643.78;21;EUR;1;Perfectus Jazz Guitar 1945 – All Solid – Pickup – Restored Player
93012554;1213.46;21;EUR;1;Hofner 4578 VTZ 1967 -onboard treble boost & fuzz - Ambassador  - great player
93940435;3097.42;21;EUR;1;unknown GDR Archtop 1950s - Restored w. trussrod
94084003;1213.46;21;EUR;1;"Hopf ""Richmond"" 1960s - solidbody guitar - handmade pickup"
94381280;425.14;21;EUR;1;Yamaha FG 340T 1970s Taiwan Jumbo Steelstring guitar
94381407;2975.95;21;EUR;1;Gibson J-50 Deluxe 1973-1975  with restoration video
94700472;1694.47;21;EUR;1;Framus 5/150 Star Bass  1956 / 1957 - rare
95011823;1694.47;21;EUR;1;Fasan archtop guitar 1950s - mahagoni - Kent Armstrong HJGN3NI Humbucker
95012147;3000.24;21;EUR;1;Kurt Seifert GDR archtop 1950s - all original OHC - restored w. video
92757832;787.11;21;EUR;1;Hofner 158 Solidbody 1960s - Black-Wite Vinyl
97127704;2059.78;21;EUR;1;Roger Junior Cut Away 1955 - Trussrod installed - 0.13 strings possible
